Test,N,Backtracking (ns),Recursive (ns),Greedy (ns),Dynamic (ns)
1,1,52327,5414,10176,5281
2,1,4086,1406,1529,3166
3,1,3245,1244,1367,5766
4,1,5716,1285,1328,3436
5,1,44713,11433,2829,6026
6,1,3966,1362,1536,5384
7,1,3302,1232,1359,4057
8,1,15631,1764,1813,4928
9,1,3439,1290,1369,5774
10,1,5853,1229,1309,5784
11,2,4897,2719,2319,6201
12,2,4158,2416,1977,9179
13,2,6661,2348,1957,9512
14,2,3982,2343,1973,9190
15,2,4240,2337,1987,7655
16,2,3902,2326,1926,10683
17,2,3894,2272,1889,11455
18,2,3886,2330,1905,8339
19,2,3854,2273,1857,6159
20,2,3914,2263,1935,11470
21,3,5426,5049,7094,11225
22,3,5084,4495,3115,15526
23,3,5128,4561,2775,16283
24,3,4783,4415,2658,8232
25,3,4979,4558,2721,16071
26,3,4934,4512,2674,13826
27,3,4985,4419,2684,15292
28,3,5137,4497,2758,11728
29,3,4912,4408,2694,7356
30,3,4846,4431,2692,15911
31,4,6433,8819,3062,21813
32,4,6306,8339,3012,19236
33,4,6211,8558,2847,11701
34,4,6133,8504,3018,11911
35,4,5981,8385,2919,18710
36,4,6208,8482,3087,17317
37,4,6133,8471,3030,19081
38,4,6214,8564,2983,17217
39,4,6017,8261,2931,11592
40,4,6237,8069,2969,12391
41,5,7720,16079,3770,16824
42,5,8182,15537,3570,15010
43,5,8889,16751,3770,26181
44,5,8895,16576,3808,26818
45,5,7996,15578,3367,14163
46,5,8493,17305,4212,16240
47,5,8569,16185,3762,19932
48,5,7840,13272,3407,11494
49,5,8217,15148,3398,19056
50,5,7373,15258,3369,11091
51,6,12512,33207,4391,28766
52,6,11307,28384,3689,16143
53,6,11339,29731,3585,29297
54,6,12428,32850,3931,32038
55,6,12053,31001,3568,23570
56,6,12802,32326,3978,30246
57,6,8473,20967,3571,11525
58,6,11445,30567,3439,27283
59,6,9496,22653,3513,12886
60,6,11054,30820,3527,26075
61,7,12957,46305,3687,29309
62,7,8034,27036,3449,11364
63,7,11190,38943,3609,17715
64,7,15554,54206,3582,17671
65,7,11223,40110,3709,16477
66,7,14471,54377,3627,30051
67,7,19574,65506,4175,30715
68,7,17632,60935,3683,31729
69,7,17357,59408,4121,28735
70,7,25114,38148,4692,17117
71,8,22250,102633,4134,35699
72,8,23578,98101,3883,41946
73,8,25058,109449,4074,26540
74,8,25297,111338,4419,36694
75,8,17316,72519,3912,17975
76,8,15804,73617,3734,17832
77,8,24590,105457,3968,31835
78,8,20928,98061,3837,23592
79,8,16439,73362,3648,23651
80,8,15024,67994,3820,15483
81,9,46301,244317,4991,47673
82,9,36559,195819,5010,40634
83,9,47620,251569,4892,38904
84,9,14740,63543,4407,16043
85,9,29629,156315,4481,41937
86,9,43588,220092,4885,34347
87,9,37401,202703,4764,37662
88,9,46804,221740,5728,37408
89,9,29161,163860,4769,30556
90,9,41979,216539,4953,33983
91,10,47094,285475,4748,47234
92,10,27174,176758,4443,25466
93,10,47529,294564,5007,33607
94,10,63983,390023,4826,37405
95,10,67483,392929,4771,40926
96,10,42758,264280,4963,33803
97,10,67288,400034,4595,44867
98,10,24710,160690,4489,22712
99,10,33271,225351,4561,32477
100,10,52802,350741,4936,45746
101,11,28292,239453,5027,21448
102,11,36258,271051,4664,26057
103,11,28044,222246,4781,21242
104,11,63775,465762,4952,41657
105,11,20142,139189,4459,19894
106,11,35153,270295,4461,25337
107,11,80736,571113,4789,51617
108,11,70771,551559,5133,48061
109,11,38499,281345,4613,29064
110,11,19607,159206,4673,19172
111,12,46322,418670,4573,36522
112,12,98724,791067,4992,49718
113,12,38350,368351,4752,29691
114,12,52164,425778,4741,32555
115,12,116612,939207,5050,46022
116,12,85381,679366,4617,38648
117,12,174957,1374180,5246,65634
118,12,59295,565175,4759,39582
119,12,127552,1083838,5337,49126
120,12,102715,838302,5304,51596
121,13,174542,1651914,6925,74768
122,13,144816,1218719,5832,53188
123,13,194678,1909402,5923,64816
124,13,58243,625048,4867,42125
125,13,148697,1454624,5701,57834
126,13,331178,2866986,7620,65001
127,13,198760,1714516,5286,53730
128,13,192997,1563957,5357,63655
129,13,43106,378682,4890,27540
130,13,124493,1176500,5470,41031
131,14,221220,2106135,7594,72052
132,14,292832,2403288,7285,66010
133,14,218165,1963441,5950,69032
134,14,409799,3935498,7697,71673
135,14,249639,2132753,5854,59018
136,14,198975,2064101,5357,74358
137,14,99246,923820,5179,51547
138,14,84570,905879,5142,35322
139,14,256352,2764573,8426,59819
140,14,159916,1590800,5689,43180
141,15,183534,2059001,5345,46833
142,15,110207,1313245,5341,36405
143,15,37268,378573,5416,26525
144,15,349829,3589050,8329,70180
145,15,377027,6341030,9549,86383
146,15,342703,3268331,6957,62805
147,15,500532,5319701,8168,63015
148,15,233850,2430595,6812,59979
149,15,59731,662924,5379,28640
150,15,294198,3384829,7120,54221
151,16,356475,3874971,8657,55110
152,16,206146,2741319,9195,54019
153,16,359594,4195393,8225,57987
154,16,417180,5186545,8692,84234
155,16,292962,3824101,8687,62724
156,16,328414,3350195,5539,55395
157,16,262928,3507444,5426,63763
158,16,810486,8056429,5953,76033
159,16,181594,1930140,5339,48039
160,16,90272,1317377,5170,42543
161,17,172099,2582905,7102,45716
162,17,774657,7909190,7655,64096
163,17,245243,2955065,6142,61398
164,17,929781,10913378,7084,105039
165,17,449610,5347189,5932,60769
166,17,74068,1146661,5986,33300
167,17,429194,5111051,6564,55597
168,17,54180,762574,5992,27112
169,17,304714,3239261,6255,61635
170,17,121956,1886128,5991,37201
171,18,1175110,15250767,9447,87177
172,18,432989,6297503,6772,66770
173,18,612909,7113146,9584,63275
174,18,643900,9826040,9482,69288
175,18,119890,1951384,6636,39478
176,18,104454,1828292,6370,36692
177,18,81433,1266775,5886,28502
178,18,257481,4098305,7134,48582
179,18,400454,5698432,168733,80870
180,18,392899,2740247,7821,47029
181,19,253642,4028717,7276,43983
182,19,521390,7836649,10215,67838
183,19,97384,1618147,6823,33026
184,19,304201,4567302,6231,50722
185,19,277593,3564100,9226,64338
186,19,154513,2729730,8017,43585
187,19,138286,2568225,6179,37513
188,19,984232,14018313,15388,164042
189,19,556643,7646479,12645,73231
190,19,86315,1598501,7179,32409
191,20,1467070,20632025,11095,125634
192,20,1041097,5558153,14785,90678
193,20,2502675,22666601,11629,97672
194,20,741191,12704160,10313,99598
195,20,1187022,19677174,14109,123957
196,20,3848273,43694565,10997,96332
197,20,1952439,29793778,11265,119837
198,20,126044,2513477,10001,45469
199,20,1234641,21468349,9983,97705
200,20,313111,5173346,10831,129336
201,21,590851,8764216,10653,55305
202,21,3593829,53459709,11491,115649
203,21,360398,7276236,9182,74131
204,21,1380812,23027094,11395,83286
205,21,769115,14330551,10760,62140
206,21,566769,9607659,8140,69880
207,21,1027723,18504279,10853,72533
208,21,809771,13886954,10243,64566
209,21,161766,3258344,7761,39405
210,21,305144,5963307,9907,67645
211,22,487245,9632889,11417,55077
212,22,1444822,29799008,11838,103219
213,22,2583382,53247288,16146,116991
214,22,1998854,34355253,11507,83603
215,22,3904807,63584144,11677,103028
216,22,391407,8428718,13220,84744
217,22,2255231,25922492,11721,100714
218,22,327832,5792343,10177,53573
219,22,534159,16318776,10958,68530
220,22,4563313,80290440,11863,96781
221,23,670308,12546365,10072,57364
222,23,527441,13374890,10788,56900
223,23,1628134,39470927,16298,149040
224,23,787411,9980749,9859,61569
225,23,244741,6185823,10484,51155
226,23,3770941,73344774,11402,108229
227,23,3394296,60439658,11426,106932
228,23,5455003,110841193,15975,198812
229,23,1003180,16472570,11391,81016
230,23,2782931,57505090,12190,107103
231,24,648582,15242925,11171,65290
232,24,257683,5975275,7718,48422
233,24,101200,2496586,7587,36522
234,24,2757144,55475692,11378,119300
235,24,11760082,221820043,12047,99527
236,24,642490,13005825,9423,66437
237,24,62717,1773252,7251,34927
238,24,1969893,42294647,11203,101341
239,24,826291,14742623,11255,65324
240,24,1776168,38586001,11754,76934
241,25,215421,5340952,7816,40927
242,25,1877008,43791920,12318,96233
243,25,1283506,38698486,12577,86473
244,25,74953,1851892,7777,36837
245,25,3922704,69158098,11658,111022
246,25,1396062,30641990,11083,74145
247,25,8026019,129246114,11830,123925
248,25,3031615,67092182,12863,122761
249,25,153344,3985506,12480,43835
250,25,2712028,65191472,11522,111435
